"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1",9243,"Cyber Sled","PS",1995,"Action","Sony Computer Entertainment",0,0,0.13,0.01,0.14
"2",3759,"Jewel Master Egypt","DS",2009,"Puzzle","Rondomedia",0.21,0.27,0,0.05,0.53
"3",14588,"DICE: DNA Integrated Cybernetic Enterprises","PS2",2005,"Shooter","Namco Bandai Games",0.01,0.01,0,0,0.03
"4",1392,"Final Fantasy XII: Revenant Wings","DS",2007,"Role-Playing","Square Enix",0.34,0.42,0.54,0.1,1.39
"5",8663,"Saw II: Flesh & Blood","X360",2010,"Action","Konami Digital Entertainment",0.1,0.04,0,0.01,0.16
"6",2310,"Resistance: Retribution","PSP",2009,"Shooter","Sony Computer Entertainment",0.27,0.36,0.05,0.22,0.9
"7",807,"Sim Theme Park","PC",1998,"Strategy","Electronic Arts",2.04,0.04,0,0,2.08
"8",6337,"NASCAR 06: Total Team Control","XB",2005,"Racing","Electronic Arts",0.2,0.06,0,0.01,0.27
"9",8331,"Glover","PS",1999,"Platform","Atari",0.09,0.06,0,0.01,0.17
"10",1774,"Doraemon","NES",1986,"Action","Hudson Soft",0,0,1.15,0,1.15
"11",9717,"Colony Wars III: Red Sun","PS",2000,"Simulation","Psygnosis",0.07,0.05,0,0.01,0.12
"12",15030,"Kensei: Sacred Fist","PS",1997,"Fighting","Konami Digital Entertainment",0.01,0.01,0,0,0.02
"13",14313,"Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken","DS",2010,"Misc","Kamui",0,0,0.03,0,0.03
"14",13039,"DokiDoki Majo Shinpan!","DS",2007,"Adventure","SNK Playmore",0,0,0.05,0,0.05
"15",14930,"America Oudan Ultra-Quiz","SAT",1995,"Misc","Victor Interactive",0,0,0.02,0,0.02
"16",9641,"Mega Man X Collection","GC",2006,"Misc","Capcom",0.1,0.03,0,0,0.13
"17",13646,"Metal Slug 4 & 5","XB",2005,"Shooter","SNK Playmore",0.03,0.01,0,0,0.04
"18",13534,"Doko Demo Issho: Let's Gakkou!","PSP",2006,"Misc","Sony Computer Entertainment",0,0,0.04,0,0.04
"19",7795,"Rock Band Country Track Pack","PS3",2009,"Misc","MTV Games",0.18,0,0,0.01,0.19
"20",892,"Mortal Kombat vs. DC Universe","X360",2008,"Fighting","Midway Games",1.53,0.24,0,0.16,1.93
"21",8129,"Tom Clancy's Ghost Recon: Future Soldier","PC",2012,"Shooter","Ubisoft",0.05,0.1,0,0.03,0.18
"22",2097,"Scooby-Doo! First Frights","Wii",2009,"Action","Warner Bros. Interactive Entertainment",0.88,0.05,0,0.07,0.99
"23",6758,"Disney's A Christmas Carol","DS",2009,"Adventure","Disney Interactive Studios",0.22,0.01,0,0.02,0.25
"24",768,"Demon Attack","2600",1981,"Shooter","Imagic",1.99,0.12,0,0.02,2.13
"25",1450,"Tom Clancy's Rainbow Six: Vegas 2","PS3",2008,"Shooter","Ubisoft",0.66,0.45,0.04,0.21,1.35
"26",10536,"DJ Max Fever","PSP",2009,"Misc","PM Studios",0.09,0,0,0.01,0.1
"27",1655,"Call of Duty: Finest Hour","XB",2004,"Shooter","Activision",0.78,0.4,0,0.04,1.21
"28",11332,"Chibi Maruko-Chan: Harikiri 365-Nichi no Maki","SNES",1991,"Misc","Epoch",0,0,0.08,0,0.08
"29",2679,"LEGO Batman 2: DC Super Heroes","DS",2012,"Action","Warner Bros. Interactive Entertainment",0.43,0.27,0,0.06,0.77
